,Регион России,Заражений,Смертей,Выздоровлений,Заражено на настоящий момент
1,Москва,3885719(+725),50067(+4),3699346(+816),136306(-95)
2,Санкт-Петербург,2135009(+320),38767(+1),2095745(+433),497(-114)
3,Московская область,1181188(+64),15477(0),1163946(+30),1765(+34)
4,Самарская область,638762(+157),8396(0),629826(+126),540(+31)
5,Свердловская область,637058(+52),11257(0),625034(+80),767(-28)
6,Нижегородская область,569028(+99),11877(0),557086(+128),65(-29)
7,Воронежская область,553974(+155),8705(0),544797(+386),472(-231)
8,Пермский край,527813(+86),9541(0),518121(+104),151(-18)
9,Ростовская область,483071(+47),11084(0),471391(+54),596(-7)
10,Красноярский край,468457(+51),11440(0),456900(+50),117(+1)
11,Челябинская область,455044(+44),8697(0),446261(+83),86(-39)
12,Республика Башкортостан,434063(+245),6204(0),427378(+271),481(-26)
13,Иркутская область,405709(+47),8841(0),396721(+42),147(+5)
14,Краснодарский край,399939(+96),11332(+1),388506(+102),101(-7)
15,Саратовская область,356500(+96),6001(0),350361(+152),138(-56)
16,Алтайский край,344621(+25),8883(0),335713(+19),25(+6)
17,Новосибирская область,343038(+26),5791(0),337177(+45),70(-19)
18,Тюменская область,310913(+23),4393(0),306478(+19),42(+4)
19,Архангельская область,301392(+36),1811(0),299502(+35),79(+1)
20,Ханты-Мансийский автономный округ,299803(+15),2627(0),297135(+25),41(-10)
21,Удмуртская Республика,299056(+32),4089(0),294913(+34),54(-2)
22,Ставропольский край,291022(+85),7152(0),283720(+114),150(-29)
23,Волгоградская область,289267(+24),6923(0),282289(+56),55(-32)
24,Ленинградская область,284409(+32),3520(0),280786(+41),103(-9)
25,Омская область,264085(+46),4709(0),259263(0),113(+46)
26,Кемеровская область,262127(+31),3283(0),258806(+29),38(+2)
27,Оренбургская область,261501(+15),4032(0),257396(+54),73(-39)
28,Пензенская область,250242(+67),6499(0),243617(+89),126(-22)
29,Хабаровский край,248232(+17),1567(0),246656(+22),9(-5)
30,Республика Саха (Якутия),247602(+20),2169(0),245392(+31),41(-11)
31,Ульяновская область,245187(+15),4942(0),240193(+27),52(-12)
32,Республика Татарстан,242377(+59),2010(0),240208(+87),159(-28)
33,Вологодская область,240872(+22),3896(0),236938(+28),38(-6)
34,Приморский край,234255(+25),1966(0),232209(+36),80(-11)
35,Республика Крым,228204(+21),5444(0),222720(+11),40(+10)
36,Ярославская область,222654(+89),2941(0),219604(+110),109(-21)
37,Калининградская область,221707(+34),2241(+2),219434(+49),32(-17)
38,Забайкальский край,219530(+45),2404(0),217105(+58),21(-13)
39,Тверская область,215744(+46),2777(0),212700(+51),267(-5)
40,Республика Коми,212193(+19),3303(0),208869(+21),21(-2)
41,Брянская область,205027(+22),4197(0),200797(+21),33(+1)
42,Владимирская область,204856(+42),3720(0),201054(+78),82(-36)
43,Тульская область,198318(+18),5389(0),192900(0),29(+18)
44,Липецкая область,194466(+29),4096(0),190327(+33),43(-4)
45,Белгородская область,191516(+43),2388(+1),189044(+41),84(+1)
46,Кировская область,180947(+21),1120(0),179787(+35),40(-14)
47,Республика Карелия,180407(+12),1526(0),178744(+25),137(-13)
48,Томская область,179957(+20),1041(0),178666(+38),250(-18)
49,Рязанская область,171108(+22),3609(0),167369(+32),130(-10)
50,Ямало-Ненецкий автономный округ,168801(+16),1069(0),167679(+22),53(-6)
51,Республика Бурятия,162088(+13),3171(0),158907(+10),10(+3)
52,Курская область,161372(+18),2545(0),158777(+30),50(-12)
53,Мурманская область,160271(+8),3444(0),156811(+5),16(+3)
54,Орловская область,156993(+46),1986(0),154927(+56),80(-10)
55,Тамбовская область,153246(+23),2544(0),150588(+27),114(-4)
56,Смоленская область,152698(+2),3225(0),149403(+5),70(-3)
57,Ивановская область,151781(+17),3331(0),148386(+15),64(+2)
58,Астраханская область,149077(+83),3241(+2),145700(+90),136(-9)
59,Калужская область,140653(+31),1455(0),138980(+41),218(-10)
60,Курганская область,139423(+19),1586(0),137786(+28),51(-9)
61,Амурская область,138357(+16),766(0),137565(+23),26(-7)
62,Псковская область,135764(+11),2012(0),133745(+8),7(+3)
63,Новгородская область,129662(+46),1091(0),128522(+66),49(-20)
64,Республика Чувашия,128528(+30),4772(0),123682(+50),74(-20)
65,Севастополь,114057(+19),2685(+2),111353(+32),19(-15)
66,Республика Хакасия,113873(+2),2436(0),111433(+8),4(-6)
67,Костромская область,107500(+1),1502(0),105984(+2),14(-1)
68,Республика Дагестан,106070(+25),3651(+1),102387(+10),32(+14)
69,Республика Мордовия,93333(+5),1396(0),91931(+8),6(-3)
70,Кабардино-Балкарская Республика,78558(+5),1965(+1),76586(+5),7(-1)
71,Сахалинская область,74345(+4),838(+1),73495(+28),12(-25)
72,Республика Калмыкия,63994(0),846(0),63148(+6),0(-6)
73,Республика Марий Эл,61723(+21),1087(0),60609(+36),27(-15)
74,Республика Адыгея,56441(+1),1054(0),55382(+5),5(-4)
75,Республика Тыва,55397(+8),358(0),55036(+12),3(-4)
76,Карачаево-Черкесская Республика,54366(+10),995(0),53328(+11),43(-1)
77,Камчатский край,50052(+8),632(0),49376(+11),44(-3)
78,Республика Северная Осетия - Алания,48689(+8),1302(0),47364(+14),23(-6)
79,Чеченская Республика,47654(0),1076(0),46571(0),7(0)
80,Республика Ингушетия,43978(0),553(0),43422(0),3(0)
81,Республика Алтай,42228(+11),636(0),41575(0),17(+11)
82,Магаданская область,25587(+23),398(0),25163(+26),26(-3)
83,Еврейская автономная область,24900(+3),562(0),24300(+5),38(-2)
84,Ненецкий автономный округ,9651(+8),104(0),9528(+6),19(+2)
85,Чукотский автономный округ,8371(+1),45(0),8324(0),2(+1)
,Вся Россия,24927450(+3924),404503(+16),24376683(+4952),146264(-1044)
